BJD,RV,RV_Err,FWHM,BIS,Instrument
2.45725571433e6,24507.93,2.66,6.823,0.053,HARPS
2.45725665992e6,24505.27,2.62,6.813,0.051,HARPS
2.45725778349e6,24485.83,1.31,6.809,0.047,HARPS
2.45725870438e6,24462.17,2.4,6.813,0.048,HARPS
2.45726071027e6,24501.4,2.28,6.817,0.049,HARPS
2.45727675557e6,24473.82,3.85,6.814,0.048,HARPS
2.45727874939e6,24500.67,1.88,6.799,0.054,HARPS
