BJD,RV,RV_Err,FWHM,BIS,Instrument
2.45725779909e6,0.73,1.64,L,L,PFS
2.45725877452e6,-9.97,1.57,L,L,PFS
2.45726180523e6,0.0,1.46,L,L,PFS
2.4572677024e6,-20.64,1.4,L,L,PFS
2.45726878307e6,-5.45,1.51,L,L,PFS
2.45726972528e6,14.95,1.54,L,L,PFS
